,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,335.0,1,231,-1241141531,5,259.0,1,231,-1241141531,5,263.0,1,231,-1241141531,5,376.0,1,231,-1241141531,5
1,225.0,1,483,-1998193016,15,392.0,1,483,-1998193016,15,225.0,1,483,-1998193016,15,225.0,1,483,-1998193016,15
2,263.0,1,645,1917858417,13,507.0,1,645,1917858417,13,740.0,1,645,1917858417,13,266.0,1,645,1917858417,13
3,279.0,1,631,928225382,7,502.0,1,631,928225382,7,260.0,1,631,928225382,7,271.0,1,631,928225382,7
4,381.0,1,596,464246508,42,298.0,1,596,464246508,42,318.0,1,596,464246508,42,271.0,1,596,464246508,42
5,369.0,1,324,-1725112131,17,377.0,1,324,-1725112131,17,263.0,1,324,-1725112131,17,344.0,1,324,-1725112131,17
6,410.0,1,406,-1831144876,41,266.0,1,406,-1831144876,41,410.0,1,406,-1831144876,41,410.0,1,406,-1831144876,41
7,322.0,1,349,-624413866,21,515.0,1,349,-624413866,21,322.0,1,349,-624413866,21,322.0,1,349,-624413866,21
8,573.0,1,659,-2094345032,27,325.0,1,659,-2094345032,27,356.0,1,659,-2094345032,27,264.0,1,659,-2094345032,27
9,377.0,1,560,1117738786,6,331.0,1,560,1117738786,6,372.0,1,560,1117738786,6,297.0,1,560,1117738786,6
10,288.0,1,340,-1362275552,11,350.0,1,340,-1362275552,11,353.0,1,340,-1362275552,11,352.0,1,340,-1362275552,11
11,442.0,1,372,1533187234,27,303.0,1,372,1533187234,27,317.0,1,372,1533187234,27,374.0,1,372,1533187234,27
12,338.0,1,255,1800608993,3,255.0,1,255,1800608993,3,338.0,1,255,1800608993,3,338.0,1,255,1800608993,3
13,273.0,1,282,579160561,29,289.0,1,282,579160561,29,269.0,1,282,579160561,29,274.0,1,282,579160561,29
14,328.0,1,678,1413068571,28,292.0,1,678,1413068571,28,321.0,1,678,1413068571,28,278.0,1,678,1413068571,28
15,329.0,1,668,-493436455,14,501.0,1,668,-493436455,14,267.0,1,668,-493436455,14,431.0,1,668,-493436455,14
16,318.0,1,637,-1104407941,13,307.0,1,637,-1104407941,13,344.0,1,637,-1104407941,13,255.0,1,637,-1104407941,13
17,267.0,1,253,-450213600,13,371.0,1,253,-450213600,13,267.0,1,253,-450213600,13,267.0,1,253,-450213600,13
18,329.0,1,458,-1417116014,33,412.0,1,458,-1417116014,33,542.0,1,458,-1417116014,33,354.0,1,458,-1417116014,33
19,264.0,1,560,237551075,45,572.0,1,560,237551075,45,343.0,1,560,237551075,45,328.0,1,560,237551075,45
20,395.0,1,367,1097285809,37,268.0,1,367,1097285809,37,395.0,1,367,1097285809,37,395.0,1,367,1097285809,37
21,308.0,1,207,1121481217,3,256.0,1,207,1121481217,3,308.0,1,207,1121481217,3,308.0,1,207,1121481217,3
22,347.0,1,605,-405791908,37,569.0,1,605,-405791908,37,220.0,1,605,-405791908,37,320.0,1,605,-405791908,37
23,261.0,1,479,-352348610,20,319.0,1,479,-352348610,20,376.0,1,479,-352348610,20,321.0,1,479,-352348610,20
24,315.0,1,497,1932324109,30,262.0,1,497,1932324109,30,374.0,1,497,1932324109,30,370.0,1,497,1932324109,30
25,237.0,1,167,231773017,7,368.0,1,167,231773017,7,318.0,1,167,231773017,7,258.0,1,167,231773017,7
26,380.0,1,567,-395125004,6,270.0,1,567,-395125004,6,884.0,1,567,-395125004,6,260.0,1,567,-395125004,6
27,386.0,1,647,907545966,65,282.0,1,647,907545966,65,273.0,1,647,907545966,65,314.0,1,647,907545966,65
28,260.0,1,182,-467621266,8,336.0,1,182,-467621266,8,260.0,1,182,-467621266,8,260.0,1,182,-467621266,8
29,366.0,1,470,1528829224,33,383.0,1,470,1528829224,33,334.0,1,470,1528829224,33,356.0,1,470,1528829224,33
30,333.0,1,425,-1939063442,9,495.0,1,425,-1939063442,9,270.0,1,425,-1939063442,9,322.0,1,425,-1939063442,9
31,275.0,1,478,-562571289,29,422.0,1,478,-562571289,29,348.0,1,478,-562571289,29,323.0,1,478,-562571289,29
32,267.0,1,345,-2017137977,7,493.0,1,345,-2017137977,7,322.0,1,345,-2017137977,7,370.0,1,345,-2017137977,7
33,319.0,1,247,-745863965,8,369.0,1,247,-745863965,8,259.0,1,247,-745863965,8,259.0,1,247,-745863965,8
34,259.0,1,607,2042081994,37,382.0,1,607,2042081994,37,321.0,1,607,2042081994,37,375.0,1,607,2042081994,37
35,299.0,1,564,-679505895,23,323.0,1,564,-679505895,23,316.0,1,564,-679505895,23,217.0,1,564,-679505895,23
36,312.0,1,479,-965556741,24,499.0,1,479,-965556741,24,375.0,1,479,-965556741,24,265.0,1,479,-965556741,24
37,313.0,1,226,-1052478437,7,268.0,1,226,-1052478437,7,313.0,1,226,-1052478437,7,313.0,1,226,-1052478437,7
38,326.0,1,672,-2129540217,48,263.0,1,672,-2129540217,48,287.0,1,672,-2129540217,48,262.0,1,672,-2129540217,48
39,354.0,1,362,-1145760320,19,325.0,1,362,-1145760320,19,326.0,1,362,-1145760320,19,455.0,1,362,-1145760320,19
40,314.0,1,468,-1584110696,15,292.0,1,468,-1584110696,15,258.0,1,468,-1584110696,15,382.0,1,468,-1584110696,15
41,262.0,1,570,1174024840,29,218.0,1,570,1174024840,29,402.0,1,570,1174024840,29,407.0,1,570,1174024840,29
42,350.0,1,199,-1761645200,20,267.0,1,199,-1761645200,20,350.0,1,199,-1761645200,20,350.0,1,199,-1761645200,20
43,276.0,1,483,84210603,34,682.0,1,483,84210603,34,261.0,1,483,84210603,34,351.0,1,483,84210603,34
44,398.0,1,405,1957422208,13,316.0,1,405,1957422208,13,436.0,1,405,1957422208,13,322.0,1,405,1957422208,13
45,259.0,1,448,1460677128,23,262.0,1,448,1460677128,23,276.0,1,448,1460677128,23,469.0,1,448,1460677128,23
46,289.0,1,455,-217174521,28,480.0,1,455,-217174521,28,307.0,1,455,-217174521,28,540.0,1,455,-217174521,28
47,438.0,1,470,1372142815,24,362.0,1,470,1372142815,24,376.0,1,470,1372142815,24,439.0,1,470,1372142815,24
48,338.0,1,424,-1553916270,26,269.0,1,424,-1553916270,26,435.0,1,424,-1553916270,26,321.0,1,424,-1553916270,26
49,310.0,1,463,692814878,38,493.0,1,463,692814878,38,262.0,1,463,692814878,38,414.0,1,463,692814878,38
