,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,259.0,1,325,-1639434999,10,288.0,1,325,-1639434999,10,315.0,1,325,-1639434999,10,315.0,1,325,-1639434999,10
1,336.0,1,542,-489267644,49,283.0,1,542,-489267644,49,326.0,1,542,-489267644,49,348.0,1,542,-489267644,49
2,441.0,1,511,852692235,36,273.0,1,511,852692235,36,716.0,1,511,852692235,36,381.0,1,511,852692235,36
3,264.0,1,176,2110576068,4,308.0,1,176,2110576068,4,264.0,1,176,2110576068,4,264.0,1,176,2110576068,4
4,307.0,1,525,-2015152927,11,412.0,1,525,-2015152927,11,297.0,1,525,-2015152927,11,311.0,1,525,-2015152927,11
5,316.0,1,173,-35035833,18,274.0,1,173,-35035833,18,316.0,1,173,-35035833,18,316.0,1,173,-35035833,18
6,451.0,1,685,2053199831,42,353.0,1,685,2053199831,42,316.0,1,685,2053199831,42,315.0,1,685,2053199831,42
7,280.0,1,464,315533804,19,341.0,1,464,315533804,19,600.0,1,464,315533804,19,345.0,1,464,315533804,19
8,337.0,1,380,336959643,35,282.0,1,380,336959643,35,440.0,1,380,336959643,35,363.0,1,380,336959643,35
9,293.0,1,505,-36422394,26,424.0,1,505,-36422394,26,319.0,1,505,-36422394,26,313.0,1,505,-36422394,26
10,257.0,1,431,-2138703309,18,452.0,1,431,-2138703309,18,484.0,1,431,-2138703309,18,264.0,1,431,-2138703309,18
11,317.0,1,574,-1219429513,41,487.0,1,574,-1219429513,41,384.0,1,574,-1219429513,41,270.0,1,574,-1219429513,41
12,318.0,1,322,-145989220,17,277.0,1,322,-145989220,17,318.0,1,322,-145989220,17,318.0,1,322,-145989220,17
