,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-517399322,350,4,266.0,8,0,247.0,8,0,247.0,8,0,247.0,8,0
1,-4016309,498,25,259.0,10,0,213.0,17,1,259.0,16,0,260.0,16,1
2,1669028905,214,15,258.0,7,0,313.0,9,0,313.0,9,0,313.0,9,0
3,501504557,677,41,255.0,12,0,280.0,22,6,262.0,23,0,441.0,19,2
4,-988144814,265,24,259.0,5,0,365.0,9,0,365.0,9,0,365.0,9,0
5,1762571020,471,33,312.0,25,0,434.0,21,4,274.0,22,0,254.0,22,2
6,-1553631914,173,14,310.0,6,0,195.0,6,0,195.0,6,0,195.0,6,0
7,1536817316,217,9,208.0,4,0,279.0,13,0,279.0,13,0,279.0,13,0
8,1607601401,566,29,259.0,11,0,316.0,12,3,273.0,15,0,288.0,17,3
9,1234019256,279,12,264.0,10,0,259.0,7,0,259.0,7,0,259.0,7,0
10,-1003510690,365,19,280.0,16,0,209.0,11,0,209.0,11,0,209.0,11,0
11,2030974037,476,34,270.0,19,0,292.0,17,6,317.0,16,0,257.0,16,4
12,-594799235,413,17,273.0,8,0,254.0,16,0,254.0,16,0,254.0,16,0
13,180312948,270,9,307.0,5,0,252.0,5,0,252.0,5,0,252.0,5,0
14,149947280,420,21,502.0,16,0,352.0,14,2,268.0,11,0,270.0,14,1
15,1202580469,606,43,320.0,20,0,326.0,17,3,374.0,15,0,298.0,15,3
16,1272387855,313,32,319.0,12,0,263.0,10,3,242.0,12,0,321.0,10,1
17,64843258,337,27,294.0,10,0,288.0,15,1,261.0,13,0,319.0,16,1
18,225643925,345,11,311.0,27,0,322.0,8,1,211.0,6,0,260.0,4,2
19,-586013470,312,16,257.0,10,0,221.0,12,0,221.0,12,0,221.0,12,0
20,-203731942,485,25,318.0,15,0,204.0,19,1,387.0,21,0,339.0,17,3
21,-234140133,520,42,299.0,17,0,254.0,23,1,238.0,27,0,289.0,23,1
22,-204052698,586,47,267.0,12,0,258.0,27,2,239.0,27,0,300.0,27,2
23,1269729846,656,60,433.0,18,0,261.0,21,5,292.0,20,0,318.0,19,3
24,1174495643,525,21,522.0,15,0,313.0,11,4,218.0,13,0,271.0,13,2
25,-2096431887,260,26,261.0,3,0,328.0,5,0,328.0,5,0,328.0,5,0
26,-15745356,227,14,268.0,10,0,259.0,7,1,249.0,8,0,256.0,9,1
27,31381319,173,13,254.0,12,0,268.0,4,0,268.0,4,0,268.0,4,0
28,-1891655627,378,27,291.0,10,0,267.0,9,0,267.0,9,0,267.0,9,0
29,-789894482,488,10,316.0,10,0,257.0,17,1,287.0,19,0,321.0,24,1
30,-1329156740,595,12,259.0,13,0,241.0,11,4,267.0,12,0,267.0,13,2
31,278050405,202,17,323.0,4,0,216.0,2,1,254.0,2,0,254.0,2,0
32,872491435,356,22,315.0,7,0,259.0,10,2,258.0,10,0,272.0,10,3
33,-1498748087,275,17,253.0,12,0,265.0,8,1,254.0,8,0,242.0,10,1
34,471569016,670,67,504.0,20,0,339.0,5,6,278.0,9,0,262.0,7,6
35,-206590838,316,10,312.0,4,0,294.0,9,0,294.0,9,0,294.0,9,0
36,782178155,418,5,269.0,13,0,357.0,6,1,292.0,7,0,250.0,6,2
37,1772590187,341,28,251.0,10,0,311.0,11,1,266.0,10,0,258.0,12,1
38,647414519,549,39,296.0,15,0,226.0,12,4,312.0,17,0,338.0,14,7
39,-234093001,632,64,617.0,14,0,265.0,18,7,267.0,21,0,266.0,23,7
40,-2129660461,350,14,255.0,7,0,266.0,6,0,266.0,6,0,266.0,6,0
41,2050980529,396,28,264.0,14,0,234.0,15,2,244.0,11,0,308.0,15,2
42,-313777541,604,25,325.0,15,0,294.0,20,1,223.0,25,0,306.0,22,1
43,-101075177,251,16,232.0,6,0,255.0,8,1,209.0,8,0,246.0,9,1
44,-642242811,283,9,286.0,5,0,256.0,3,1,256.0,3,0,256.0,3,0
45,-1042795806,522,27,282.0,16,0,254.0,10,1,299.0,13,0,226.0,14,1
46,-831174831,471,5,261.0,19,0,313.0,8,2,283.0,13,0,442.0,11,2
47,1167628787,582,18,262.0,17,0,312.0,14,5,232.0,13,0,289.0,18,3
48,-185884329,561,40,495.0,18,0,261.0,15,2,227.0,16,0,255.0,14,2
49,-1980989174,254,21,261.0,5,0,272.0,14,0,272.0,14,0,272.0,14,0
