,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1026742760,694,28,495.0,14,0,267.0,18,1,293.0,18,0,268.0,17,1
1,-2020737923,670,41,291.0,20,0,313.0,17,12,705.0,15,0,265.0,15,6
2,679918975,645,46,555.0,26,0,278.0,25,4,260.0,24,0,285.0,27,1
3,1132393146,392,24,255.0,15,0,374.0,17,1,350.0,15,0,332.0,16,1
4,418179791,472,15,249.0,14,0,255.0,14,3,278.0,19,0,371.0,16,3
5,-82824150,262,24,205.0,7,0,276.0,5,0,276.0,5,0,276.0,5,0
6,709057671,297,24,356.0,10,0,259.0,5,0,259.0,5,0,259.0,5,0
7,539415815,215,18,284.0,12,0,286.0,1,0,286.0,1,0,286.0,1,0
8,968623995,529,48,261.0,11,0,253.0,16,2,269.0,16,0,329.0,17,2
9,-1480052034,179,4,258.0,3,0,272.0,5,0,272.0,5,0,272.0,5,0
10,1109728948,219,11,373.0,0,0,315.0,12,0,315.0,12,0,315.0,12,0
11,-296493289,605,43,511.0,16,0,337.0,21,3,272.0,20,0,261.0,22,3
12,-1339174179,392,4,258.0,17,0,225.0,4,0,225.0,4,0,225.0,4,0
13,-1316924476,608,55,314.0,15,0,290.0,25,2,356.0,25,0,269.0,25,3
14,124892538,287,6,254.0,9,0,289.0,5,0,289.0,5,0,289.0,5,0
15,2020336911,323,17,281.0,7,0,314.0,15,1,260.0,14,0,262.0,14,1
16,-1022433979,652,7,352.0,29,0,289.0,18,5,334.0,17,0,314.0,18,4
17,-881720863,311,22,254.0,10,0,325.0,7,0,325.0,7,0,325.0,7,0
18,1752396767,471,19,302.0,6,0,253.0,11,0,253.0,11,0,253.0,11,0
19,717807575,186,15,279.0,8,0,225.0,4,0,225.0,4,0,225.0,4,0
20,385952050,684,69,381.0,17,0,230.0,21,5,282.0,22,0,292.0,19,5
21,2029986974,166,2,208.0,9,0,198.0,3,0,198.0,3,0,198.0,3,0
22,-877858981,344,28,317.0,16,0,262.0,16,1,260.0,15,0,259.0,15,1
23,-995931084,208,17,207.0,5,0,224.0,9,0,224.0,9,0,224.0,9,0
24,-1753002034,190,14,205.0,1,0,260.0,4,0,260.0,4,0,260.0,4,0
25,-178761366,425,43,263.0,12,0,257.0,12,1,258.0,11,0,274.0,10,1
26,-1746207386,692,42,303.0,28,0,233.0,14,4,258.0,14,0,258.0,14,0
27,1449263283,592,60,253.0,26,0,276.0,20,3,346.0,13,0,749.0,16,6
28,-2142951265,373,4,283.0,7,0,317.0,8,2,293.0,10,0,250.0,7,0
29,1828965632,631,7,261.0,14,0,377.0,8,2,333.0,9,0,314.0,11,1
30,1470557172,294,21,278.0,11,0,255.0,13,1,268.0,9,0,211.0,8,1
31,587010007,275,17,318.0,11,0,378.0,9,0,378.0,9,0,378.0,9,0
32,427054447,256,11,260.0,14,0,270.0,7,2,288.0,5,0,228.0,5,1
33,-1618175208,651,33,272.0,20,0,249.0,31,7,366.0,30,0,323.0,29,4
34,-1125607728,210,9,206.0,9,0,252.0,9,0,252.0,9,0,252.0,9,0
35,-1500084301,175,9,263.0,5,0,252.0,3,0,252.0,3,0,252.0,3,0
36,1281748457,624,13,293.0,27,0,374.0,42,2,262.0,41,0,326.0,45,1
37,153205013,367,37,267.0,11,0,277.0,9,2,271.0,11,0,352.0,11,2
38,-865281624,582,18,271.0,13,0,255.0,9,2,222.0,10,0,747.0,8,3
39,1931109991,184,8,249.0,3,0,244.0,4,0,244.0,4,0,244.0,4,0
40,2001596694,257,3,258.0,7,0,290.0,5,0,290.0,5,0,290.0,5,0
41,-458643253,406,41,264.0,7,0,261.0,13,1,381.0,13,0,327.0,12,1
42,-1271223544,277,6,251.0,7,0,312.0,13,0,312.0,13,0,312.0,13,0
43,66893544,469,38,309.0,12,0,210.0,11,4,264.0,13,0,240.0,10,1
44,918025489,294,9,267.0,1,0,258.0,11,1,206.0,8,0,211.0,8,1
45,-1232530027,283,12,281.0,4,0,256.0,7,0,256.0,7,0,256.0,7,0
46,-966827544,603,25,266.0,20,0,345.0,13,2,325.0,11,0,220.0,14,2
47,1397706045,277,14,258.0,7,0,381.0,8,0,381.0,8,0,381.0,8,0
48,1692616196,359,36,252.0,8,0,261.0,10,1,208.0,10,0,263.0,10,1
49,-40873276,483,34,295.0,18,0,323.0,8,0,323.0,8,0,323.0,8,0
