,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
26,592917246,501.0,9,0,315.0,13,2,272.0,14,0,275.0,12,2
27,1457414393,487.0,14,0,201.0,8,0,201.0,8,0,201.0,8,0
28,-286821532,266.0,20,0,262.0,22,0,262.0,22,0,262.0,22,0
29,1393094936,326.0,9,0,238.0,11,1,288.0,10,0,327.0,13,1
30,167386827,263.0,13,0,267.0,13,1,261.0,13,0,271.0,13,1
31,2042059910,280.0,14,0,279.0,17,2,280.0,16,0,258.0,18,3
32,-1253757299,263.0,13,0,277.0,13,4,351.0,17,0,225.0,14,3
33,-1447384666,261.0,10,0,313.0,7,2,260.0,8,0,297.0,8,2
34,-1280029222,254.0,14,0,256.0,8,2,329.0,10,0,298.0,6,3
35,1408947254,272.0,9,0,318.0,14,5,230.0,15,0,264.0,15,2
36,1592315779,267.0,11,0,216.0,17,0,216.0,17,0,216.0,17,0
37,-195253572,253.0,15,0,265.0,11,2,229.0,16,0,227.0,12,1
38,337824722,314.0,12,0,258.0,17,1,269.0,16,0,366.0,18,1
39,794344078,258.0,12,0,254.0,15,3,263.0,17,0,259.0,16,1
40,-784513272,273.0,14,0,269.0,13,5,317.0,13,0,276.0,12,1
41,1254370421,495.0,12,0,329.0,10,2,275.0,12,0,262.0,12,1
42,-1252879592,506.0,15,0,315.0,13,0,315.0,13,0,315.0,13,0
43,1178534644,282.0,7,0,284.0,19,3,379.0,21,0,270.0,20,2
44,929885864,312.0,13,0,273.0,20,1,257.0,15,0,295.0,18,0
45,-411586760,252.0,7,0,282.0,13,0,282.0,13,0,282.0,13,0
46,179870471,318.0,14,0,272.0,13,4,259.0,11,0,386.0,13,3
47,-1130332272,259.0,16,0,274.0,14,2,375.0,13,0,410.0,13,3
48,942918278,429.0,19,0,262.0,10,2,261.0,11,0,262.0,12,2
49,-197931175,312.0,21,0,331.0,18,1,269.0,15,0,440.0,20,0
50,-1201465270,255.0,15,0,446.0,21,5,348.0,16,0,258.0,19,4
51,1226660474,293.0,21,0,261.0,17,1,264.0,14,0,336.0,15,1
52,393683751,263.0,14,0,265.0,18,3,242.0,13,0,228.0,17,2
53,-718463808,340.0,15,0,375.0,16,1,337.0,19,0,271.0,16,1
54,398592770,313.0,13,0,262.0,10,1,271.0,11,0,355.0,16,2
55,1718782241,444.0,8,0,258.0,24,1,314.0,32,0,328.0,30,0
56,1056828705,266.0,8,0,261.0,14,2,279.0,14,0,319.0,13,0
57,528991050,259.0,15,0,255.0,37,1,246.0,34,0,292.0,33,1
58,1738816869,374.0,14,0,256.0,10,0,256.0,10,0,256.0,10,0
59,1997532465,315.0,13,0,267.0,20,2,325.0,15,0,402.0,19,1
60,455467746,354.0,13,0,256.0,19,4,266.0,20,0,270.0,18,1
61,1626965723,287.0,15,0,259.0,20,1,317.0,20,0,328.0,20,1
62,294013732,304.0,16,0,255.0,10,0,255.0,10,0,255.0,10,0
63,1403056183,326.0,6,0,268.0,6,2,260.0,6,0,330.0,6,2
64,-1742712640,269.0,12,0,229.0,12,2,335.0,9,0,276.0,8,1
65,-805858265,255.0,14,0,288.0,7,1,321.0,8,0,257.0,8,1
66,427347594,276.0,14,0,267.0,12,2,316.0,12,0,215.0,13,2
67,1217777972,557.0,13,0,204.0,14,3,257.0,13,0,265.0,13,1
68,887955267,276.0,14,0,282.0,12,3,253.0,10,0,221.0,10,3
69,-680633759,266.0,16,0,287.0,11,1,272.0,13,0,257.0,11,1
70,-545079428,331.0,10,0,407.0,9,1,308.0,9,0,258.0,9,1
71,1033455319,264.0,16,0,218.0,20,3,270.0,19,0,265.0,18,2
72,-579346518,267.0,23,0,424.0,13,4,316.0,12,0,264.0,14,2
73,-1437819853,507.0,11,0,277.0,10,1,419.0,12,0,254.0,14,2
74,-919114605,313.0,15,0,314.0,10,1,219.0,9,0,289.0,10,1
75,1952703531,317.0,17,0,255.0,15,1,342.0,18,0,334.0,17,1
76,-1252108281,281.0,9,0,263.0,9,3,257.0,9,0,249.0,9,3
77,888627450,296.0,20,0,326.0,11,2,265.0,14,0,246.0,12,1
78,-188746755,315.0,9,0,399.0,7,1,242.0,11,0,270.0,10,1
79,569069401,266.0,17,0,259.0,15,1,304.0,15,0,499.0,14,1
80,-1225133760,322.0,9,0,381.0,22,1,295.0,19,0,261.0,22,2
81,5721176,515.0,8,0,290.0,18,2,314.0,19,0,200.0,18,2
82,2062634440,322.0,11,0,235.0,14,3,342.0,12,0,290.0,14,2
83,1671666284,497.0,14,0,254.0,5,2,277.0,5,0,277.0,4,3
84,537541685,291.0,7,0,442.0,17,4,298.0,18,0,347.0,17,1
85,1333336361,272.0,11,0,277.0,11,6,266.0,13,0,219.0,12,1
86,877430456,269.0,10,0,262.0,10,1,206.0,11,0,374.0,11,1
87,2121190230,248.0,16,0,284.0,12,3,264.0,12,0,266.0,14,2
88,-1119564806,374.0,22,0,259.0,10,2,317.0,10,0,280.0,10,1
89,171107016,261.0,16,0,218.0,13,1,385.0,13,0,275.0,13,1
90,-1581639510,255.0,15,0,331.0,14,2,257.0,17,0,254.0,14,1
91,-1280262713,496.0,14,0,331.0,16,1,255.0,19,0,254.0,15,1
92,1402320681,285.0,23,0,259.0,24,4,269.0,20,0,212.0,22,2
93,-1996769892,323.0,12,0,324.0,20,3,212.0,19,0,285.0,18,3
94,608476089,528.0,9,0,336.0,19,1,286.0,19,0,231.0,17,1
95,-1895588667,258.0,22,0,265.0,11,1,329.0,19,0,313.0,16,0
96,1579111475,381.0,20,0,256.0,12,3,208.0,14,0,274.0,11,1
97,64344927,273.0,11,0,377.0,14,1,340.0,14,0,262.0,14,1
98,535840251,253.0,14,0,209.0,18,2,320.0,15,0,337.0,19,2
99,-1647879721,532.0,9,0,322.0,10,2,279.0,9,0,321.0,12,1
0,-1850667397,331.0,15,0,223.0,17,4,404.0,14,0,320.0,16,2
1,975933589,501.0,18,0,313.0,23,2,343.0,22,0,312.0,21,2
2,-1378180485,317.0,11,0,279.0,5,2,255.0,4,0,282.0,3,2
3,-1536822065,261.0,10,0,306.0,18,2,276.0,17,0,222.0,18,1
4,-1684448011,315.0,15,0,262.0,11,7,378.0,9,0,259.0,9,3
5,-2002972833,345.0,20,0,260.0,11,1,339.0,13,0,349.0,11,1
6,1450300301,314.0,12,0,242.0,13,2,265.0,12,0,270.0,12,1
7,-308918409,396.0,18,0,268.0,12,1,270.0,11,0,274.0,13,2
8,1083392514,273.0,11,0,253.0,16,4,264.0,16,0,259.0,18,4
9,-433166695,272.0,14,0,256.0,8,4,318.0,10,0,224.0,11,0
10,222751263,264.0,7,0,417.0,14,2,255.0,14,0,245.0,16,0
11,1503102613,259.0,10,0,294.0,12,3,317.0,14,0,326.0,10,3
12,1870150974,272.0,11,0,271.0,14,0,271.0,14,0,271.0,14,0
13,1838010336,273.0,14,0,328.0,12,3,267.0,15,0,279.0,13,2
14,721677654,331.0,17,0,260.0,11,2,267.0,13,0,303.0,13,2
15,1822642819,500.0,23,0,363.0,15,0,363.0,15,0,363.0,15,0
16,-1023016532,320.0,24,0,212.0,15,3,268.0,12,0,265.0,12,3
17,-1560456969,315.0,19,0,322.0,10,1,255.0,10,0,265.0,11,1
18,-1827873272,263.0,16,0,319.0,8,1,224.0,6,0,270.0,8,0
19,952065585,309.0,24,0,298.0,20,0,298.0,20,0,298.0,20,0
20,1874493698,301.0,15,0,224.0,11,3,381.0,12,0,264.0,12,5
21,335988747,506.0,12,0,267.0,18,3,265.0,17,0,250.0,19,1
22,1098186007,261.0,26,0,233.0,16,1,260.0,16,0,260.0,20,2
23,-1720583062,324.0,11,0,232.0,15,1,253.0,17,0,314.0,16,0
24,-1710838120,258.0,14,0,288.0,18,6,265.0,20,0,270.0,16,2
25,-120827610,268.0,15,0,412.0,12,3,229.0,10,0,379.0,10,2
26,1694586925,254.0,13,0,313.0,12,2,255.0,13,0,262.0,12,2
27,-1812452788,255.0,14,0,286.0,11,0,286.0,11,0,286.0,11,0
28,1931512569,555.0,15,0,238.0,14,2,311.0,13,0,320.0,15,2
29,348239888,502.0,9,0,261.0,12,3,368.0,12,0,229.0,11,4
30,-146749716,260.0,13,0,259.0,14,0,259.0,14,0,259.0,14,0
