,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1717865284,639,58,315.0,14,0,224.0,16,4,296.0,11,0,591.0,15,5
1,-549970878,512,47,505.0,14,0,274.0,11,4,280.0,11,0,218.0,11,6
2,1352375681,180,4,260.0,4,0,259.0,7,0,259.0,7,0,259.0,7,0
3,1603175318,552,34,280.0,12,0,569.0,24,2,259.0,25,0,261.0,23,5
4,1145943324,483,20,294.0,20,0,269.0,19,5,254.0,16,0,253.0,19,5
5,1314708217,342,4,298.0,6,0,229.0,11,0,229.0,11,0,229.0,11,0
6,859387552,226,23,283.0,6,0,252.0,2,1,262.0,2,0,320.0,2,1
7,-830315454,386,12,265.0,16,0,275.0,13,1,266.0,12,0,260.0,12,2
8,-275704632,609,25,314.0,19,0,317.0,9,1,297.0,8,0,320.0,12,1
9,1460358673,268,6,278.0,8,0,314.0,11,1,382.0,10,0,259.0,11,1
10,-779963917,672,34,281.0,14,0,268.0,29,4,263.0,24,0,264.0,21,2
11,1295343389,289,24,410.0,3,0,235.0,4,1,263.0,4,0,324.0,4,1
12,259964191,493,5,258.0,20,0,251.0,16,2,274.0,14,0,320.0,13,5
13,1103648164,483,49,274.0,15,0,565.0,24,4,228.0,23,0,406.0,17,3
14,1892882452,390,4,325.0,8,0,308.0,10,1,320.0,8,0,269.0,8,1
15,1458162731,615,19,288.0,11,0,271.0,26,4,380.0,22,0,319.0,23,3
16,-277201819,591,54,319.0,20,0,236.0,21,6,273.0,20,0,256.0,17,3
17,172431440,365,4,315.0,10,0,287.0,12,2,357.0,9,0,200.0,9,1
18,947970830,536,38,352.0,11,0,316.0,26,3,271.0,19,0,317.0,21,1
19,-43323606,287,26,264.0,4,0,274.0,11,2,255.0,13,0,255.0,14,2
20,-707397566,186,4,249.0,11,0,211.0,6,1,255.0,8,0,198.0,8,1
21,2025753724,652,59,263.0,14,0,261.0,13,8,208.0,13,0,263.0,12,6
22,-1560143274,181,13,310.0,1,0,254.0,4,0,254.0,4,0,254.0,4,0
23,-979863084,519,11,321.0,10,0,288.0,16,1,244.0,17,0,256.0,21,2
24,-1990032782,491,10,493.0,19,0,377.0,12,1,387.0,14,0,313.0,11,2
25,-1496134744,644,7,494.0,20,0,592.0,16,6,262.0,16,0,265.0,15,2
26,-598534891,270,25,253.0,5,0,293.0,13,1,289.0,14,0,307.0,15,1
27,-2144470172,374,15,257.0,7,0,317.0,7,1,284.0,7,0,275.0,6,1
28,403215798,456,32,312.0,17,0,264.0,8,1,262.0,7,0,218.0,6,2
29,189036229,407,21,254.0,7,0,326.0,13,0,326.0,13,0,326.0,13,0
30,1809038168,268,22,313.0,10,0,434.0,5,0,434.0,5,0,434.0,5,0
31,431803801,686,42,275.0,23,0,363.0,18,6,331.0,17,0,328.0,17,4
32,1392679330,578,6,257.0,13,0,266.0,32,2,320.0,25,0,384.0,26,1
33,2067949931,452,19,316.0,18,0,269.0,13,4,330.0,13,0,258.0,12,3
34,1001319256,527,53,295.0,17,0,257.0,8,2,320.0,10,0,316.0,9,1
35,2090903332,387,28,218.0,9,0,311.0,8,2,323.0,9,0,253.0,11,2
36,1947057698,502,36,269.0,14,0,263.0,13,2,252.0,12,0,264.0,12,2
37,-1952979709,500,50,339.0,12,0,285.0,10,4,290.0,11,0,258.0,9,4
38,814571442,289,6,258.0,7,0,351.0,8,1,349.0,8,0,233.0,10,1
39,-1762305293,543,49,313.0,12,0,261.0,17,3,259.0,14,0,270.0,15,3
40,-477644521,329,4,262.0,10,0,418.0,6,1,317.0,6,0,281.0,5,1
41,-1903319660,491,30,268.0,13,0,269.0,12,1,257.0,11,0,296.0,16,0
42,1022927297,629,38,380.0,14,0,256.0,30,2,272.0,32,0,314.0,35,3
43,-1091340679,477,15,271.0,16,0,323.0,11,2,267.0,9,0,282.0,8,4
44,1327645623,214,7,307.0,5,0,262.0,7,0,262.0,7,0,262.0,7,0
45,997519197,567,46,258.0,15,0,257.0,15,2,259.0,17,0,270.0,17,3
46,-1180666712,592,12,269.0,20,0,328.0,15,9,286.0,14,0,222.0,19,3
47,-278014811,472,48,285.0,17,0,388.0,11,2,263.0,13,0,270.0,11,3
48,-2049101098,326,17,491.0,12,0,296.0,9,0,296.0,9,0,296.0,9,0
49,-1348273733,368,34,362.0,4,0,282.0,10,0,282.0,10,0,282.0,10,0
