,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,262.0,8,800,378477150,1,292.0,8,800,2110311033,1,304.0,8,800,1099074670,1,262.0,8,800,-839944189,1
1,372.0,8,800,-1280640748,1,327.0,8,800,-792464826,1,399.0,8,800,-1382625672,1,339.0,8,800,-1664922520,1
2,259.0,8,800,2072074494,1,290.0,8,800,-851464728,1,315.0,8,800,-1112788879,1,384.0,8,800,710257562,1
3,254.0,8,800,-1049153004,1,316.0,8,800,2014256656,1,297.0,8,800,966550787,1,281.0,8,800,832367788,1
4,269.0,8,800,984265965,1,905.0,8,800,233141121,1,312.0,8,800,-835565034,1,250.0,8,800,-1684373615,1
5,259.0,8,800,-842345697,1,485.0,8,800,-1960657467,1,286.0,8,800,-1172076363,1,231.0,8,800,-1516616041,1
6,323.0,8,800,1359984526,1,728.0,8,800,2135823219,1,379.0,8,800,352416074,1,339.0,8,800,-394794764,1
7,263.0,8,800,514389020,1,301.0,8,800,-667810180,1,318.0,8,800,-749955968,1,358.0,8,800,2020298947,1
8,309.0,8,800,1796101260,1,307.0,8,800,-900209355,1,383.0,8,800,-290405098,1,339.0,8,800,1842668132,1
9,375.0,8,800,1762601221,1,326.0,8,800,-2084400467,1,388.0,8,800,-427132750,1,356.0,8,800,-54997826,1
10,272.0,8,800,1299393056,1,309.0,8,800,544010997,1,835.0,8,800,-2114035983,1,243.0,8,800,-261966065,1
11,264.0,8,800,1438841467,1,624.0,8,800,241503860,1,323.0,8,800,-295248517,1,394.0,8,800,-1602763297,1
12,261.0,8,800,-1279963213,1,322.0,8,800,1845566490,1,339.0,8,800,1676466011,1,313.0,8,800,-1454746975,1
13,257.0,8,800,698116508,1,310.0,8,800,-310674094,1,302.0,8,800,1103697420,1,309.0,8,800,1590805189,1
14,359.0,8,800,-1070104472,1,308.0,8,800,-442929796,1,291.0,8,800,-717175342,1,217.0,8,800,-668018917,1
15,326.0,8,800,1429074903,1,306.0,8,800,371853112,1,303.0,8,800,609280821,1,290.0,8,800,1220851890,1
16,320.0,8,800,578729018,1,375.0,8,800,-1806485910,1,278.0,8,800,-1657285101,1,257.0,8,800,-1430172648,1
17,255.0,8,800,-439881119,1,849.0,8,800,-4249725,1,366.0,8,800,-1276663525,1,261.0,8,800,-1332928309,1
18,375.0,8,800,-500043904,1,390.0,8,800,1767578707,1,459.0,8,800,-1792794838,1,291.0,8,800,-419044420,1
19,346.0,8,800,-620802247,1,310.0,8,800,-586238168,1,359.0,8,800,2012462397,1,262.0,8,800,-461838844,1
20,315.0,8,800,-493081593,1,431.0,8,800,-1737135297,1,327.0,8,800,963052380,1,314.0,8,800,-1052072761,1
21,265.0,8,800,1539497230,1,1238.0,8,800,-1287766443,1,312.0,8,800,72425501,1,257.0,8,800,148181054,1
22,251.0,8,800,-562206880,1,321.0,8,800,-1949613496,1,714.0,8,800,540298374,1,343.0,8,800,377305086,1
23,375.0,8,800,65239294,1,362.0,8,800,-1992977684,1,277.0,8,800,1538067675,1,336.0,8,800,537909407,1
24,317.0,8,800,1428568662,1,313.0,8,800,614714687,1,359.0,8,800,-218635368,1,336.0,8,800,924036287,1
25,341.0,8,800,256691664,1,304.0,8,800,430832770,1,363.0,8,800,984459393,1,348.0,8,800,-396879281,1
26,367.0,8,800,-886023940,1,699.0,8,800,-1197301487,1,312.0,8,800,1751243148,1,214.0,8,800,-1696869479,1
27,255.0,8,800,287276473,1,334.0,8,800,440027121,1,315.0,8,800,574367957,1,257.0,8,800,1474691471,1
28,310.0,8,800,-321475756,1,570.0,8,800,-1998615401,1,551.0,8,800,1529962970,1,364.0,8,800,1638474009,1
29,293.0,8,800,1196317770,1,375.0,8,800,-1863107516,1,257.0,8,800,1697729072,1,386.0,8,800,-1004164087,1
30,358.0,8,800,-743655797,1,939.0,8,800,1094100272,1,353.0,8,800,940370969,1,344.0,8,800,-1605924108,1
31,244.0,8,800,653442307,1,326.0,8,800,1044751612,1,310.0,8,800,1805057789,1,275.0,8,800,-1952953552,1
32,317.0,8,800,502252806,1,587.0,8,800,-815793797,1,336.0,8,800,2107289465,1,274.0,8,800,221477037,1
33,292.0,8,800,-1128297628,1,318.0,8,800,-2129737278,1,401.0,8,800,1876265810,1,275.0,8,800,163019154,1
34,315.0,8,800,-1156418758,1,1134.0,8,800,1051132208,1,287.0,8,800,1056462603,1,351.0,8,800,-1773939567,1
35,316.0,8,800,812096726,1,289.0,8,800,-434410265,1,269.0,8,800,855160958,1,258.0,8,800,1407419891,1
36,314.0,8,800,-458352417,1,328.0,8,800,-1240229486,1,853.0,8,800,129985841,1,378.0,8,800,342182384,1
37,307.0,8,800,-212382565,1,433.0,8,800,-998683320,1,332.0,8,800,1194584422,1,262.0,8,800,1461469748,1
38,256.0,8,800,-494463406,1,321.0,8,800,1158357330,1,387.0,8,800,695834993,1,371.0,8,800,-1658419996,1
39,360.0,8,800,-1787781171,1,324.0,8,800,-1713367827,1,312.0,8,800,1392244075,1,348.0,8,800,296920237,1
40,266.0,8,800,1758116827,1,642.0,8,800,1475335238,1,893.0,8,800,-1602369758,1,215.0,8,800,1385841961,1
41,261.0,8,800,1594174279,1,304.0,8,800,-1155515777,1,312.0,8,800,1556618014,1,312.0,8,800,1875775360,1
42,216.0,8,800,-861264672,1,277.0,8,800,949145672,1,318.0,8,800,-2099875203,1,260.0,8,800,1183492760,1
43,218.0,8,800,-580519439,1,300.0,8,800,-260264,1,407.0,8,800,-1806434853,1,262.0,8,800,-75920921,1
44,361.0,8,800,-1198383708,1,588.0,8,800,-138041244,1,281.0,8,800,-2121001439,1,305.0,8,800,1182951110,1
45,308.0,8,800,-2081216418,1,292.0,8,800,-1724465308,1,304.0,8,800,90250387,1,278.0,8,800,2096729415,1
46,389.0,8,800,100994196,1,367.0,8,800,-1796973682,1,320.0,8,800,-1669428715,1,257.0,8,800,-738767326,1
47,337.0,8,800,-2109840937,1,951.0,8,800,767319346,1,227.0,8,800,-1484202095,1,312.0,8,800,2040758752,1
48,258.0,8,800,2067262664,1,265.0,8,800,-352536616,1,311.0,8,800,-1508506398,1,377.0,8,800,220057033,1
