,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,256.0,8,800,-1113698589,1,325.0,8,800,-493660963,1,491.0,8,800,-1135710461,1,336.0,8,800,762821054,1
1,297.0,8,800,1015354977,1,315.0,8,800,1892277330,1,326.0,8,800,829894588,1,265.0,8,800,1636368657,1
2,277.0,8,800,650396672,1,590.0,8,800,-259604396,1,294.0,8,800,1061381259,1,440.0,8,800,1336065552,1
3,285.0,8,800,1724369495,1,318.0,8,800,-1538542888,1,325.0,8,800,769116519,1,206.0,8,800,1698596016,1
4,264.0,8,800,2087874071,1,321.0,8,800,-822551081,1,520.0,8,800,1542338552,1,324.0,8,800,1456942902,1
5,261.0,8,800,-691217512,1,497.0,8,800,-340209122,1,317.0,8,800,-1798710132,1,384.0,8,800,375256072,1
6,270.0,8,800,696691548,1,300.0,8,800,428204398,1,329.0,8,800,1871133134,1,383.0,8,800,-1081200705,1
7,258.0,8,800,-2021197174,1,345.0,8,800,1148943369,1,299.0,8,800,-2122492459,1,268.0,8,800,1999822238,1
8,258.0,8,800,1327379855,1,326.0,8,800,1655073230,1,310.0,8,800,-501312247,1,211.0,8,800,1500296088,1
9,257.0,8,800,-947419116,1,391.0,8,800,1028068844,1,338.0,8,800,-2138688782,1,316.0,8,800,1782805471,1
10,427.0,8,800,903785718,1,312.0,8,800,-1117312882,1,375.0,8,800,1061661420,1,268.0,8,800,1556468390,1
11,281.0,8,800,-1321234087,1,295.0,8,800,187544885,1,370.0,8,800,-52598282,1,256.0,8,800,490256602,1
12,252.0,8,800,1966886086,1,708.0,8,800,305581987,1,277.0,8,800,-1338850700,1,375.0,8,800,-322589963,1
13,251.0,8,800,372935367,1,292.0,8,800,685266516,1,311.0,8,800,-459429394,1,259.0,8,800,819604323,1
14,254.0,8,800,1547113966,1,325.0,8,800,438105980,1,301.0,8,800,1507643738,1,264.0,8,800,1976717501,1
15,319.0,8,800,453193360,1,313.0,8,800,-434609330,1,341.0,8,800,611494734,1,269.0,8,800,-824925928,1
16,342.0,8,800,1886759185,1,669.0,8,800,-1187612121,1,465.0,8,800,-1257240133,1,260.0,8,800,2096479006,1
17,290.0,8,800,-1238575518,1,326.0,8,800,1062839636,1,313.0,8,800,-1679545018,1,253.0,8,800,-1318183924,1
