,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,316.0,8,800,-1565903087,1,320.0,8,800,-1259051969,1,283.0,8,800,-140796563,1,260.0,8,800,-1162836988,1
1,262.0,8,800,-1658735134,1,301.0,8,800,-1795662404,1,275.0,8,800,1443317502,1,315.0,8,800,1653348714,1
2,258.0,8,800,1610107033,1,303.0,8,800,636413571,1,703.0,8,800,906762722,1,253.0,8,800,126488869,1
3,293.0,8,800,78033669,1,314.0,8,800,1502402924,1,293.0,8,800,-1166759269,1,275.0,8,800,-779028570,1
4,214.0,8,800,-329599546,1,322.0,8,800,-1664341666,1,304.0,8,800,-278705238,1,298.0,8,800,139189556,1
5,293.0,8,800,-1595444394,1,322.0,8,800,196535825,1,253.0,8,800,-1802141758,1,294.0,8,800,1534576984,1
6,365.0,8,800,1331743500,1,321.0,8,800,2047825294,1,332.0,8,800,-2022809008,1,280.0,8,800,-1924259875,1
7,256.0,8,800,1075821302,1,328.0,8,800,1296379128,1,290.0,8,800,1433717993,1,292.0,8,800,1379363351,1
8,255.0,8,800,-769155734,1,305.0,8,800,1447760891,1,339.0,8,800,1184438585,1,323.0,8,800,-338769950,1
9,305.0,8,800,-48294882,1,666.0,8,800,1202457964,1,321.0,8,800,776031484,1,254.0,8,800,-947612685,1
10,316.0,8,800,204305825,1,706.0,8,800,-86318234,1,304.0,8,800,79244950,1,296.0,8,800,1932726332,1
11,255.0,8,800,-800299763,1,298.0,8,800,1096592821,1,298.0,8,800,1601472720,1,376.0,8,800,-1911686686,1
12,283.0,8,800,2117076291,1,319.0,8,800,385056472,1,576.0,8,800,-828691280,1,317.0,8,800,2060338641,1
13,275.0,8,800,-795400477,1,1610.0,8,800,748208733,1,579.0,8,800,-516235961,1,376.0,8,800,-905398254,1
14,357.0,8,800,511919518,1,536.0,8,800,1288419615,1,305.0,8,800,-864642606,1,310.0,8,800,727356988,1
15,227.0,8,800,846252592,1,322.0,8,800,1674906101,1,304.0,8,800,-1050443428,1,306.0,8,800,1803529682,1
16,250.0,8,800,-1129374371,1,734.0,8,800,-1467361032,1,313.0,8,800,-799609180,1,267.0,8,800,714190390,1
17,314.0,8,800,1006929109,1,311.0,8,800,-811052986,1,317.0,8,800,-1343612243,1,447.0,8,800,-1561979490,1
18,268.0,8,800,-1630396474,1,324.0,8,800,-515458645,1,357.0,8,800,-1884166753,1,254.0,8,800,-1500138145,1
19,368.0,8,800,-1166418851,1,317.0,8,800,-1847078739,1,305.0,8,800,376576586,1,270.0,8,800,717616015,1
20,309.0,8,800,1020372645,1,370.0,8,800,-1400115910,1,323.0,8,800,-1637357358,1,283.0,8,800,1114695926,1
21,313.0,8,800,1314631267,1,436.0,8,800,-1686991236,1,289.0,8,800,-980182340,1,244.0,8,800,-1719294519,1
22,300.0,8,800,1443422279,1,288.0,8,800,1960685323,1,318.0,8,800,-667902054,1,315.0,8,800,1062434636,1
23,261.0,8,800,-411302638,1,435.0,8,800,1123982855,1,309.0,8,800,-650351219,1,247.0,8,800,-1954656830,1
24,259.0,8,800,902916270,1,589.0,8,800,303790722,1,492.0,8,800,514690227,1,309.0,8,800,1070405729,1
