,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,279.0,1,160,1442121986,4,257.0,1,160,1442121986,4,279.0,1,160,1442121986,4,279.0,1,160,1442121986,4
1,305.0,1,593,545112534,60,321.0,1,593,545112534,60,360.0,1,593,545112534,60,286.0,1,593,545112534,60
2,269.0,1,381,-720461840,23,269.0,1,381,-720461840,23,380.0,1,381,-720461840,23,498.0,1,381,-720461840,23
3,317.0,1,469,1248561097,33,517.0,1,469,1248561097,33,268.0,1,469,1248561097,33,324.0,1,469,1248561097,33
4,313.0,1,686,-2037500153,28,736.0,1,686,-2037500153,28,490.0,1,686,-2037500153,28,352.0,1,686,-2037500153,28
5,281.0,1,388,-2089558746,28,247.0,1,388,-2089558746,28,282.0,1,388,-2089558746,28,324.0,1,388,-2089558746,28
6,309.0,1,666,-280978653,54,495.0,1,666,-280978653,54,291.0,1,666,-280978653,54,384.0,1,666,-280978653,54
7,319.0,1,447,-1147224269,9,419.0,1,447,-1147224269,9,315.0,1,447,-1147224269,9,306.0,1,447,-1147224269,9
8,261.0,1,263,-1628570970,14,375.0,1,263,-1628570970,14,261.0,1,263,-1628570970,14,261.0,1,263,-1628570970,14
9,300.0,1,574,394554308,12,314.0,1,574,394554308,12,383.0,1,574,394554308,12,335.0,1,574,394554308,12
10,556.0,1,393,1639656323,36,253.0,1,393,1639656323,36,556.0,1,393,1639656323,36,556.0,1,393,1639656323,36
11,431.0,1,483,580504120,10,309.0,1,483,580504120,10,339.0,1,483,580504120,10,374.0,1,483,580504120,10
12,354.0,1,352,940067979,8,266.0,1,352,940067979,8,276.0,1,352,940067979,8,267.0,1,352,940067979,8
13,260.0,1,448,1609888408,14,313.0,1,448,1609888408,14,260.0,1,448,1609888408,14,260.0,1,448,1609888408,14
14,256.0,1,486,-1432681054,44,394.0,1,486,-1432681054,44,503.0,1,486,-1432681054,44,265.0,1,486,-1432681054,44
15,258.0,1,204,-1896007198,13,263.0,1,204,-1896007198,13,258.0,1,204,-1896007198,13,258.0,1,204,-1896007198,13
16,368.0,1,632,-463304471,13,584.0,1,632,-463304471,13,286.0,1,632,-463304471,13,314.0,1,632,-463304471,13
17,258.0,1,257,-1875122921,13,325.0,1,257,-1875122921,13,258.0,1,257,-1875122921,13,258.0,1,257,-1875122921,13
18,256.0,1,377,-421912566,4,265.0,1,377,-421912566,4,374.0,1,377,-421912566,4,258.0,1,377,-421912566,4
19,256.0,1,556,-1399801100,28,287.0,1,556,-1399801100,28,503.0,1,556,-1399801100,28,378.0,1,556,-1399801100,28
20,318.0,1,429,1545435695,13,398.0,1,429,1545435695,13,387.0,1,429,1545435695,13,337.0,1,429,1545435695,13
21,320.0,1,372,-2124991134,12,506.0,1,372,-2124991134,12,371.0,1,372,-2124991134,12,542.0,1,372,-2124991134,12
22,380.0,1,401,-1069834436,21,268.0,1,401,-1069834436,21,380.0,1,401,-1069834436,21,380.0,1,401,-1069834436,21
23,267.0,1,509,-233962890,46,269.0,1,509,-233962890,46,276.0,1,509,-233962890,46,327.0,1,509,-233962890,46
24,473.0,1,428,-2135423772,35,266.0,1,428,-2135423772,35,273.0,1,428,-2135423772,35,310.0,1,428,-2135423772,35
25,486.0,1,228,-383839056,23,380.0,1,228,-383839056,23,486.0,1,228,-383839056,23,486.0,1,228,-383839056,23
26,259.0,1,527,1613299073,37,378.0,1,527,1613299073,37,416.0,1,527,1613299073,37,395.0,1,527,1613299073,37
27,329.0,1,186,-1729680063,12,337.0,1,186,-1729680063,12,256.0,1,186,-1729680063,12,320.0,1,186,-1729680063,12
28,260.0,1,253,1087744637,18,260.0,1,253,1087744637,18,260.0,1,253,1087744637,18,260.0,1,253,1087744637,18
29,258.0,1,664,-1177672597,54,390.0,1,664,-1177672597,54,368.0,1,664,-1177672597,54,329.0,1,664,-1177672597,54
30,260.0,1,186,1820651183,17,323.0,1,186,1820651183,17,260.0,1,186,1820651183,17,260.0,1,186,1820651183,17
31,325.0,1,428,-1501962101,5,262.0,1,428,-1501962101,5,370.0,1,428,-1501962101,5,361.0,1,428,-1501962101,5
32,267.0,1,323,2110302539,23,367.0,1,323,2110302539,23,312.0,1,323,2110302539,23,272.0,1,323,2110302539,23
33,417.0,1,693,916873650,14,315.0,1,693,916873650,14,221.0,1,693,916873650,14,268.0,1,693,916873650,14
34,288.0,1,252,-2123503436,26,279.0,1,252,-2123503436,26,256.0,1,252,-2123503436,26,442.0,1,252,-2123503436,26
35,254.0,1,160,-2093888066,2,293.0,1,160,-2093888066,2,254.0,1,160,-2093888066,2,254.0,1,160,-2093888066,2
36,266.0,1,365,-1450519163,11,275.0,1,365,-1450519163,11,409.0,1,365,-1450519163,11,261.0,1,365,-1450519163,11
37,215.0,1,273,-1596684173,9,258.0,1,273,-1596684173,9,215.0,1,273,-1596684173,9,215.0,1,273,-1596684173,9
38,375.0,1,642,614244226,20,493.0,1,642,614244226,20,316.0,1,642,614244226,20,441.0,1,642,614244226,20
39,274.0,1,356,725154080,8,274.0,1,356,725154080,8,256.0,1,356,725154080,8,264.0,1,356,725154080,8
40,259.0,1,193,1560899484,20,258.0,1,193,1560899484,20,259.0,1,193,1560899484,20,259.0,1,193,1560899484,20
41,313.0,1,381,1443188536,16,326.0,1,381,1443188536,16,413.0,1,381,1443188536,16,257.0,1,381,1443188536,16
42,270.0,1,634,-122375113,39,316.0,1,634,-122375113,39,326.0,1,634,-122375113,39,444.0,1,634,-122375113,39
43,493.0,1,400,-2053839162,40,399.0,1,400,-2053839162,40,298.0,1,400,-2053839162,40,263.0,1,400,-2053839162,40
44,265.0,1,235,771963726,8,379.0,1,235,771963726,8,265.0,1,235,771963726,8,265.0,1,235,771963726,8
45,305.0,1,290,-1874061105,6,226.0,1,290,-1874061105,6,305.0,1,290,-1874061105,6,305.0,1,290,-1874061105,6
46,373.0,1,433,1203971685,44,320.0,1,433,1203971685,44,373.0,1,433,1203971685,44,373.0,1,433,1203971685,44
47,279.0,1,288,-91023363,24,280.0,1,288,-91023363,24,279.0,1,288,-91023363,24,279.0,1,288,-91023363,24
48,263.0,1,427,551169599,22,262.0,1,427,551169599,22,270.0,1,427,551169599,22,319.0,1,427,551169599,22
49,257.0,1,253,-150680207,21,253.0,1,253,-150680207,21,257.0,1,253,-150680207,21,257.0,1,253,-150680207,21
