,random_seed,random_pass,random_staff,random_normal_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-1421819480,327,4,1,264.0,11,0,306.0,10,0,306.0,10,0,306.0,10,0
1,-2117423833,660,33,1,323.0,9,0,376.0,13,6,272.0,10,0,270.0,12,4
2,1851591976,273,6,1,315.0,5,0,282.0,5,0,282.0,5,0,282.0,5,0
3,-511521252,184,2,1,282.0,5,0,502.0,8,0,502.0,8,0,502.0,8,0
4,-1101320587,310,31,1,264.0,1,0,342.0,4,3,323.0,5,0,266.0,4,2
5,1588894988,191,8,1,253.0,6,0,379.0,6,0,379.0,6,0,379.0,6,0
6,-1919634599,270,9,1,417.0,10,0,313.0,13,0,313.0,13,0,313.0,13,0
7,1029156162,538,44,1,552.0,18,0,352.0,27,0,352.0,27,0,352.0,27,0
8,-1698907247,309,10,1,289.0,5,0,267.0,23,0,267.0,23,0,267.0,23,0
9,-567216336,241,22,1,271.0,5,0,340.0,6,0,340.0,6,0,340.0,6,0
10,-1371160665,666,7,1,635.0,23,0,329.0,14,12,273.0,16,0,323.0,16,14
11,996091344,345,35,1,429.0,6,0,262.0,5,2,273.0,6,0,437.0,6,1
12,901120897,508,46,1,312.0,17,0,353.0,14,3,376.0,11,0,271.0,14,3
13,1521932694,563,17,1,318.0,17,0,321.0,18,6,435.0,16,0,264.0,23,5
14,-989809357,264,14,1,343.0,8,0,261.0,6,1,376.0,4,0,256.0,4,1
15,562784669,228,10,1,236.0,6,0,271.0,3,0,271.0,3,0,271.0,3,0
16,860355235,547,22,1,321.0,29,0,441.0,17,4,316.0,14,0,267.0,11,5
17,-2020868062,192,20,1,256.0,5,0,300.0,4,1,333.0,4,0,660.0,4,0
18,1362298333,226,19,1,335.0,10,0,271.0,12,1,419.0,10,0,586.0,11,1
19,-1016144120,283,15,1,420.0,8,0,285.0,6,0,285.0,6,0,285.0,6,0
20,-1173151715,376,34,1,664.0,18,0,258.0,9,0,258.0,9,0,258.0,9,0
21,-390250269,277,6,1,379.0,7,0,371.0,13,0,371.0,13,0,371.0,13,0
22,-1377453353,630,32,1,439.0,14,0,225.0,14,7,336.0,15,0,319.0,15,7
23,866747322,348,25,1,525.0,12,0,309.0,21,0,309.0,21,0,309.0,21,0
24,-1095066702,509,51,1,322.0,11,0,380.0,11,3,327.0,13,0,379.0,8,3
25,610456225,604,37,1,290.0,14,0,216.0,22,6,317.0,25,0,311.0,19,6
26,54116344,401,5,1,315.0,20,0,260.0,7,4,382.0,7,0,375.0,6,4
27,479497865,154,8,1,268.0,6,0,315.0,3,0,315.0,3,0,315.0,3,0
28,-527955391,512,16,1,267.0,16,0,325.0,20,4,269.0,19,0,375.0,18,3
29,1135170942,388,8,1,339.0,13,0,377.0,21,1,326.0,23,0,257.0,19,1
30,-1742528564,279,20,1,255.0,12,0,268.0,18,2,258.0,17,0,328.0,19,1
31,-517048184,380,19,1,260.0,15,0,435.0,7,1,555.0,8,0,323.0,9,1
32,-1157423082,508,6,1,530.0,7,0,342.0,6,7,316.0,4,0,256.0,7,4
33,-508997107,190,19,1,334.0,7,0,273.0,6,0,273.0,6,0,273.0,6,0
34,-2097103103,349,11,1,473.0,12,0,289.0,7,3,398.0,6,0,399.0,5,2
35,-209220587,168,7,1,326.0,7,0,267.0,2,0,267.0,2,0,267.0,2,0
36,1221777437,615,37,1,781.0,16,0,436.0,19,7,369.0,15,0,297.0,16,5
37,-836430984,222,7,1,310.0,3,0,350.0,4,0,350.0,4,0,350.0,4,0
38,765472240,411,25,1,250.0,13,0,317.0,18,0,317.0,18,0,317.0,18,0
39,658004284,216,7,1,299.0,6,0,253.0,7,0,253.0,7,0,253.0,7,0
40,-79082453,166,9,1,313.0,6,0,257.0,3,1,213.0,3,0,308.0,2,1
41,261808598,649,46,1,495.0,19,0,266.0,32,3,807.0,47,0,345.0,26,8
42,1552605638,203,21,1,936.0,5,0,261.0,3,0,261.0,3,0,261.0,3,0
43,-727244585,384,16,1,379.0,14,0,275.0,10,5,767.0,10,0,237.0,9,5
44,-47590026,602,7,1,445.0,17,0,273.0,26,4,317.0,24,0,335.0,23,3
45,561931800,401,25,1,395.0,13,0,261.0,11,0,261.0,11,0,261.0,11,0
46,-117844788,305,28,1,276.0,9,0,237.0,11,0,237.0,11,0,237.0,11,0
47,1981974111,331,24,1,266.0,6,0,292.0,8,0,292.0,8,0,292.0,8,0
48,-1838983475,595,54,1,488.0,22,0,331.0,19,10,373.0,14,0,295.0,14,6
49,-1288629053,554,45,1,278.0,16,0,319.0,42,1,274.0,37,0,276.0,38,1
