,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
9,-2101196578,519.0,21,0,256.0,14,1,372.0,15,0,266.0,13,1
10,-1780844629,282.0,9,0,217.0,18,0,217.0,18,0,217.0,18,0
11,333537803,256.0,13,0,394.0,15,2,270.0,14,0,343.0,14,2
12,1770395939,287.0,15,0,286.0,14,1,237.0,12,0,255.0,13,1
13,-783634488,272.0,6,0,209.0,15,4,339.0,12,0,272.0,12,3
14,-332761520,263.0,6,0,276.0,24,2,252.0,22,0,267.0,21,2
15,-227172439,263.0,12,0,269.0,14,1,354.0,14,0,252.0,14,1
16,-1734051902,385.0,15,0,304.0,18,3,395.0,16,0,377.0,16,2
17,-625320083,291.0,13,0,265.0,6,2,313.0,5,0,266.0,7,3
18,1602070028,497.0,18,0,317.0,10,2,259.0,11,0,259.0,10,1
19,-1403296891,261.0,11,0,335.0,13,1,258.0,16,0,256.0,17,2
20,-704387091,387.0,14,0,295.0,13,2,291.0,12,0,236.0,12,2
21,1879946160,320.0,11,0,326.0,11,3,319.0,10,0,262.0,13,2
22,1916102072,304.0,14,0,346.0,15,3,267.0,17,0,397.0,20,1
23,-301636761,284.0,11,0,262.0,8,1,323.0,10,0,255.0,10,1
24,1154237673,313.0,19,0,227.0,18,0,227.0,18,0,227.0,18,0
25,-680747039,438.0,10,0,261.0,12,2,327.0,14,0,374.0,12,1
26,-808319253,285.0,11,0,314.0,7,5,263.0,5,0,274.0,6,3
27,2126037142,264.0,16,0,260.0,19,2,261.0,18,0,271.0,20,1
28,838771957,342.0,8,0,261.0,14,1,259.0,10,0,292.0,12,2
29,-1263658630,267.0,5,0,206.0,8,3,262.0,10,0,233.0,11,2
30,1926065655,313.0,13,0,379.0,23,2,259.0,23,0,261.0,22,1
31,323620350,258.0,13,0,283.0,12,1,266.0,11,0,256.0,11,1
32,2132067407,293.0,22,0,262.0,16,2,283.0,15,0,292.0,16,1
