,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1361807248,270.0,18,0,313.0,13,2,255.0,13,0,339.0,12,2
1,-2040467129,495.0,14,0,262.0,13,2,311.0,12,0,284.0,12,1
2,339027119,317.0,12,0,322.0,12,2,319.0,13,0,319.0,13,2
3,-1937648401,499.0,8,0,258.0,11,3,324.0,10,0,303.0,10,4
4,1568413929,285.0,9,0,256.0,15,4,268.0,14,0,373.0,14,2
5,-1106754351,320.0,12,0,217.0,15,3,346.0,15,0,282.0,12,5
6,-1633038731,329.0,14,0,358.0,14,3,271.0,13,0,267.0,14,2
7,626219667,267.0,9,0,253.0,15,1,278.0,15,0,207.0,15,1
8,-706774486,299.0,13,0,235.0,22,1,258.0,25,0,374.0,20,1
9,-782228152,272.0,11,0,322.0,6,1,257.0,4,0,336.0,7,2
10,-1878070415,376.0,20,0,371.0,18,1,319.0,17,0,297.0,16,4
11,1596485624,311.0,12,0,213.0,10,2,265.0,9,0,255.0,9,2
12,-932787593,293.0,14,0,650.0,9,2,440.0,13,0,222.0,10,3
13,608405502,392.0,9,0,325.0,14,1,319.0,15,0,354.0,14,1
14,1625806383,434.0,7,0,276.0,10,0,276.0,10,0,276.0,10,0
15,-436457480,287.0,11,0,333.0,15,3,325.0,16,0,271.0,15,1
16,198218959,276.0,13,0,317.0,17,3,224.0,18,0,265.0,20,2
17,1925976611,258.0,15,0,264.0,18,2,341.0,18,0,371.0,16,1
18,821596204,274.0,7,0,254.0,10,2,379.0,8,0,326.0,11,1
19,839499799,334.0,9,0,258.0,9,3,331.0,11,0,354.0,14,4
20,941033906,315.0,17,0,364.0,25,1,275.0,25,0,260.0,25,1
21,-1957201099,263.0,13,0,748.0,17,3,263.0,15,0,277.0,17,2
22,783330521,333.0,6,0,208.0,9,1,269.0,9,0,217.0,10,1
23,1740538230,254.0,7,0,233.0,14,3,331.0,15,0,390.0,17,0
24,1793635584,262.0,23,0,258.0,19,0,258.0,19,0,258.0,19,0
25,-1007014787,255.0,7,0,296.0,13,2,371.0,13,0,254.0,13,2
26,-1345140437,278.0,14,0,260.0,14,1,379.0,18,0,226.0,15,2
27,-302132916,420.0,11,0,252.0,10,4,267.0,14,0,226.0,12,4
28,1408852140,1100.0,13,0,270.0,17,3,295.0,15,0,259.0,17,1
29,80493370,282.0,11,0,279.0,17,2,313.0,21,0,213.0,18,2
30,-129929938,263.0,11,0,309.0,21,2,315.0,25,0,260.0,26,1
31,1679998183,289.0,12,0,255.0,10,0,255.0,10,0,255.0,10,0
32,507234172,318.0,10,0,310.0,16,2,338.0,14,0,255.0,17,1
33,53079913,261.0,11,0,318.0,15,1,233.0,19,0,264.0,14,1
34,1310184360,276.0,17,0,319.0,19,2,377.0,17,0,263.0,19,1
35,-1601186567,236.0,16,0,269.0,9,2,265.0,9,0,301.0,8,2
36,-74085670,372.0,6,0,259.0,7,6,259.0,8,0,260.0,8,2
37,-477694755,281.0,14,0,314.0,15,2,252.0,14,0,313.0,15,2
38,495017643,330.0,17,0,209.0,9,1,323.0,9,0,265.0,9,1
39,1453179437,292.0,11,0,389.0,9,3,255.0,10,0,278.0,8,5
40,2058896409,254.0,9,0,266.0,16,3,456.0,16,0,319.0,16,3
41,-397543030,255.0,13,0,258.0,15,3,267.0,15,0,257.0,14,3
42,-1287493811,267.0,23,0,229.0,13,2,256.0,13,0,263.0,13,2
43,1470431642,279.0,9,0,322.0,12,1,275.0,11,0,257.0,9,0
44,-2107816673,496.0,13,0,266.0,7,2,260.0,7,0,258.0,6,2
45,19672694,373.0,15,0,264.0,11,0,264.0,11,0,264.0,11,0
46,1599072695,260.0,16,0,290.0,17,2,257.0,17,0,285.0,17,2
47,2072819698,256.0,10,0,253.0,20,6,313.0,21,0,229.0,24,1
48,-753732408,270.0,10,0,265.0,19,3,250.0,15,0,257.0,13,0
49,-1402128239,257.0,18,0,264.0,12,2,283.0,9,0,266.0,13,3
50,1035145342,321.0,12,0,302.0,13,1,281.0,16,0,373.0,15,1
51,-931417438,379.0,16,0,253.0,12,1,263.0,9,0,362.0,10,1
52,-1228384026,493.0,8,0,289.0,13,1,375.0,14,0,256.0,13,1
53,945805395,320.0,16,0,243.0,15,3,266.0,15,0,379.0,16,1
54,-1252714655,265.0,7,0,253.0,7,0,253.0,7,0,253.0,7,0
55,2130657210,318.0,10,0,374.0,9,2,265.0,7,0,252.0,7,2
56,1383038521,266.0,13,0,258.0,16,2,283.0,13,0,268.0,12,2
57,-204185743,267.0,19,0,259.0,11,3,258.0,17,0,264.0,11,3
58,-1863276819,496.0,9,0,215.0,17,2,333.0,19,0,320.0,14,1
59,1756311318,254.0,17,0,260.0,20,1,268.0,19,0,255.0,15,5
60,1471465509,266.0,13,0,332.0,11,2,276.0,12,0,267.0,11,2
61,-334986885,294.0,17,0,253.0,13,1,288.0,14,0,314.0,12,3
62,-337223866,272.0,14,0,248.0,17,4,257.0,11,0,348.0,13,1
63,585336865,293.0,11,0,316.0,15,0,316.0,15,0,316.0,15,0
64,-1976758326,875.0,18,0,317.0,9,2,265.0,8,0,256.0,8,2
65,-64198160,470.0,17,0,259.0,19,1,272.0,15,0,311.0,14,2
66,78749102,266.0,24,0,264.0,10,4,350.0,9,0,286.0,10,1
67,333564496,318.0,13,0,259.0,12,2,303.0,15,0,306.0,13,1
