,random_seed,random_pass,random_staff,random_normal_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-636414598,581,35,1,398.0,19,0,318.0,24,5,257.0,21,0,360.0,22,5
1,-144377554,570,57,1,400.0,25,0,281.0,17,5,564.0,17,0,345.0,20,5
2,622837519,268,9,1,257.0,3,0,312.0,8,0,312.0,8,0,312.0,8,0
3,-2020309775,439,40,1,274.0,11,0,512.0,8,1,314.0,10,0,489.0,7,0
4,1961230132,416,21,1,270.0,14,0,305.0,17,5,549.0,23,0,322.0,15,2
5,-211402825,565,57,1,268.0,21,0,263.0,11,2,373.0,12,0,314.0,13,2
6,-1970819412,508,11,1,798.0,23,0,258.0,10,6,377.0,8,0,380.0,12,5
7,-707936637,634,58,1,290.0,13,0,303.0,9,9,367.0,8,0,280.0,7,5
8,802244171,670,41,1,321.0,12,0,478.0,22,16,294.0,24,0,269.0,23,5
9,941501113,195,20,1,257.0,4,0,307.0,5,1,382.0,4,0,318.0,5,1
10,-547246007,375,23,1,859.0,16,0,392.0,11,1,325.0,10,0,274.0,13,1
11,-1084277930,471,15,1,653.0,20,0,285.0,13,3,263.0,11,0,434.0,14,1
12,966709193,465,38,1,271.0,13,0,299.0,17,3,467.0,20,0,266.0,19,2
13,-271287009,384,24,1,281.0,4,0,265.0,7,1,273.0,8,0,945.0,6,1
14,-1118666076,636,51,1,288.0,20,0,354.0,29,4,397.0,24,0,284.0,27,5
15,-382208423,607,61,1,416.0,15,0,324.0,16,5,676.0,14,0,266.0,22,5
16,1736732045,617,7,1,411.0,18,0,373.0,14,7,355.0,13,0,429.0,11,2
17,-1389311645,511,21,1,312.0,11,0,335.0,17,2,592.0,17,0,277.0,17,2
18,-802755358,327,4,1,319.0,6,0,311.0,4,2,313.0,4,0,362.0,4,2
19,-2089102351,217,22,1,211.0,9,0,254.0,4,1,322.0,1,0,257.0,1,1
20,-881576388,379,23,1,376.0,8,0,292.0,10,2,378.0,12,0,269.0,9,2
21,-1299009011,321,20,1,374.0,9,0,342.0,14,0,342.0,14,0,342.0,14,0
22,-732904252,696,14,1,327.0,14,0,301.0,12,12,293.0,14,0,301.0,14,2
23,1785760999,397,20,1,660.0,15,0,323.0,14,3,318.0,15,0,379.0,13,3
24,-1918483353,280,26,1,257.0,8,0,286.0,6,0,286.0,6,0,286.0,6,0
25,-484581576,643,65,1,695.0,18,0,301.0,8,10,317.0,10,0,337.0,15,9
26,1761883492,366,11,1,433.0,11,0,286.0,14,1,315.0,10,0,373.0,11,2
27,865419081,416,13,1,292.0,12,0,264.0,16,6,263.0,14,0,346.0,17,1
28,947667173,198,16,1,315.0,6,0,264.0,7,0,264.0,7,0,264.0,7,0
29,200499191,460,23,1,378.0,23,0,257.0,15,4,326.0,14,0,376.0,14,2
30,907616141,455,19,1,408.0,20,0,316.0,13,1,318.0,14,0,319.0,15,1
31,-1539360245,577,24,1,275.0,19,0,283.0,18,4,373.0,21,0,315.0,17,3
32,-968870907,693,35,1,1064.0,14,0,301.0,32,7,323.0,31,0,347.0,29,4
33,2047261428,695,14,1,570.0,17,0,288.0,24,7,250.0,23,0,487.0,17,11
34,-1383619077,418,26,1,377.0,16,0,274.0,9,2,323.0,8,0,324.0,8,2
35,-1673939560,171,18,1,374.0,3,0,258.0,3,0,258.0,3,0,258.0,3,0
36,-1546047848,451,14,1,258.0,12,0,428.0,9,1,348.0,11,0,261.0,11,1
37,-639523459,654,33,1,285.0,21,0,315.0,29,1,313.0,33,0,351.0,28,2
38,616432408,552,34,1,358.0,10,0,258.0,18,12,447.0,18,0,277.0,18,2
39,1990711577,447,27,1,367.0,23,0,326.0,9,2,315.0,12,0,375.0,13,3
40,-564383954,554,17,1,431.0,6,0,275.0,18,2,274.0,18,0,452.0,16,1
41,-14800996,525,48,1,549.0,10,0,387.0,16,1,353.0,17,0,253.0,16,1
42,-1554531125,373,15,1,338.0,9,0,260.0,10,2,273.0,11,0,435.0,8,1
43,-704556922,232,10,1,371.0,5,0,319.0,11,0,319.0,11,0,319.0,11,0
44,2133272787,538,54,1,318.0,7,0,427.0,21,5,268.0,15,0,337.0,14,3
45,1187882522,577,52,1,312.0,25,0,269.0,11,7,338.0,9,0,344.0,9,3
46,-550593523,497,20,1,314.0,12,0,497.0,14,1,266.0,13,0,269.0,12,1
47,519328969,605,19,1,376.0,17,0,413.0,11,4,449.0,13,0,375.0,13,3
48,-1398705372,392,32,1,267.0,8,0,255.0,12,2,317.0,10,0,240.0,13,1
49,-1747300374,204,9,1,319.0,4,0,264.0,5,0,264.0,5,0,264.0,5,0
