,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-254408593,564,23,318.0,10,0,258.0,16,0,258.0,16,0,258.0,16,0
1,-1411253669,204,11,255.0,3,0,263.0,5,0,263.0,5,0,263.0,5,0
2,551606727,553,50,504.0,13,0,264.0,19,3,323.0,21,0,255.0,20,3
3,-2118142585,467,10,255.0,11,0,262.0,19,2,373.0,19,0,263.0,18,2
4,1875985192,513,36,262.0,13,0,399.0,18,3,259.0,17,0,393.0,16,2
5,68745923,461,24,266.0,9,0,230.0,10,2,261.0,9,0,259.0,12,2
6,-357398435,163,10,257.0,3,0,260.0,3,1,249.0,3,0,259.0,3,1
7,1482327811,523,11,310.0,12,0,257.0,12,1,270.0,12,0,258.0,11,1
8,1268787155,544,49,398.0,19,0,381.0,15,4,334.0,12,0,318.0,12,7
9,-457328508,447,5,269.0,9,0,209.0,19,2,253.0,18,0,266.0,20,2
10,765491391,416,34,314.0,7,0,253.0,9,2,265.0,10,0,308.0,11,1
11,-1823640173,417,9,221.0,15,0,197.0,14,1,295.0,16,0,206.0,15,2
12,1211628929,480,24,407.0,9,0,263.0,13,0,263.0,13,0,263.0,13,0
13,718375917,333,30,214.0,7,0,279.0,9,3,208.0,10,0,221.0,8,2
14,6725476,234,10,323.0,9,0,259.0,7,0,259.0,7,0,259.0,7,0
15,-874544641,526,37,497.0,13,0,384.0,14,2,272.0,14,0,240.0,14,1
16,-1219506736,455,14,269.0,4,0,273.0,13,3,554.0,13,0,265.0,13,1
17,-512123536,416,34,290.0,8,0,409.0,9,2,333.0,11,0,208.0,13,3
18,-292873063,284,15,249.0,9,0,439.0,12,1,255.0,10,0,324.0,12,1
19,1040549605,169,16,203.0,3,0,315.0,3,0,315.0,3,0,315.0,3,0
20,1494717386,216,11,317.0,10,0,256.0,5,1,251.0,6,0,200.0,5,1
21,-598384124,249,20,260.0,6,0,315.0,6,0,315.0,6,0,315.0,6,0
22,-1523164282,317,23,258.0,7,0,195.0,6,1,219.0,6,0,317.0,5,1
23,-1841528103,359,8,318.0,12,0,256.0,16,1,341.0,15,0,257.0,16,1
24,-845583258,440,5,265.0,8,0,261.0,6,3,372.0,10,0,262.0,6,1
25,409515532,507,26,253.0,10,0,373.0,17,3,319.0,12,0,280.0,10,3
26,1837549102,262,6,224.0,8,0,319.0,7,0,319.0,7,0,319.0,7,0
27,-221433624,226,14,198.0,4,0,256.0,5,0,256.0,5,0,256.0,5,0
28,856915254,402,33,263.0,11,0,319.0,10,2,405.0,9,0,315.0,9,2
29,-2054003171,342,21,266.0,14,0,359.0,11,2,315.0,8,0,363.0,9,2
30,1947128542,572,52,265.0,13,0,290.0,20,4,462.0,20,0,278.0,18,2
31,-955070678,216,13,255.0,6,0,256.0,4,0,256.0,4,0,256.0,4,0
32,521434811,360,11,259.0,11,0,249.0,12,3,313.0,13,0,256.0,14,2
33,-425325916,270,17,257.0,11,0,318.0,5,1,201.0,4,0,251.0,5,1
34,-941622255,261,8,198.0,5,0,291.0,7,0,291.0,7,0,291.0,7,0
35,-64785165,358,18,297.0,13,0,219.0,5,2,342.0,7,0,260.0,6,2
36,-1187032242,439,36,299.0,8,0,228.0,15,1,329.0,15,0,315.0,16,1
37,1818192681,514,36,276.0,12,0,289.0,29,1,261.0,28,0,287.0,26,1
38,1554112475,332,20,251.0,5,0,284.0,3,0,284.0,3,0,284.0,3,0
39,1635383762,180,2,274.0,6,0,263.0,4,0,263.0,4,0,263.0,4,0
40,1224498777,249,20,207.0,11,0,275.0,13,0,275.0,13,0,275.0,13,0
41,240162341,372,27,327.0,15,0,319.0,10,2,255.0,13,0,291.0,9,2
42,-1831295550,440,5,254.0,12,0,220.0,9,1,210.0,8,0,249.0,8,1
43,738884677,483,49,256.0,23,0,254.0,13,3,314.0,11,0,260.0,13,3
44,-1915104817,303,19,269.0,10,0,274.0,14,0,274.0,14,0,274.0,14,0
45,-1876785693,682,62,273.0,19,0,254.0,19,6,401.0,19,0,274.0,20,9
46,-498937449,246,13,234.0,4,0,252.0,4,0,252.0,4,0,252.0,4,0
47,1898928932,494,25,269.0,14,0,328.0,11,3,390.0,13,0,254.0,13,2
48,-1578346801,387,24,265.0,7,0,258.0,14,1,439.0,12,0,257.0,11,1
49,-1083173273,611,31,265.0,34,0,267.0,10,4,267.0,9,0,256.0,11,5
