,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
87,1476868034,269.0,14,0,254.0,14,1,296.0,10,0,254.0,13,1
88,1864606929,271.0,9,0,211.0,9,2,238.0,8,0,255.0,6,1
89,427148006,326.0,13,0,255.0,9,2,403.0,8,0,294.0,11,2
90,2097470525,272.0,19,0,261.0,20,1,259.0,20,0,311.0,23,1
91,-141687983,279.0,10,0,311.0,22,2,265.0,14,0,264.0,18,1
92,-836276807,281.0,11,0,281.0,15,0,281.0,15,0,281.0,15,0
93,-509186718,322.0,17,0,262.0,21,2,316.0,18,0,245.0,18,3
94,-458902824,345.0,12,0,261.0,14,1,285.0,14,0,334.0,12,0
95,-1730355858,316.0,19,0,276.0,7,2,278.0,7,0,292.0,8,1
96,-1832358937,344.0,12,0,263.0,11,3,331.0,11,0,273.0,10,4
97,1284994176,332.0,14,0,285.0,13,1,316.0,13,0,256.0,11,1
98,-1900657649,263.0,19,0,281.0,10,3,265.0,12,0,268.0,11,3
99,-1455781832,270.0,12,0,284.0,14,3,262.0,15,0,256.0,15,3
